Sexo:,Edad ,Provincia de  Origen,Ciudad de origen,El lugar donde vivia era: ,Su colegio era ,¿Sus estudios de tercer nivel fueron?,¿Cua¡l es su ultimo nivel de estudio culminado? (con o sin beca Senescyt),¿Qua© estudios cubrio su beca Senescyt?  (por favor seleccione todos los niveles financiados),Pias en donde realizo sus estudios cubiertos por la beca Senescyt del mayor grado financiado:,¿Cua¡l es su a¡rea de especializacion?,Año de convocatoria (mayor grado),Programa de beca financiado (mayor grado),¿Cua¡l es el ultimo nivel de estudios culminado de su padre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre? [Feedback],¿Cua¡l es su situacion actual?,Provincia actual de Residencia,Ciudad  actual de residencia,El lugar donde reside actualmente es:,Año de retorno,¿Cua¡ntos meses le tomo encontrar su primer empleo en Ecuador desde que retorno al Ecuador?,"En una escala del 1 al 5, ¿qua© tanto utilizaba sus habilidades adquiridas en sus estudios en este primer empleo en Ecuador?",¿Cua¡ntos  de experiencia previa relevante tenia antes de encontrar este empleo?,¿Como se siente en su trabajo?,"Comparado a cuando comenzo su actual empleo, sus habilidades han: ",¿Esta¡ en sus planes trabajar en el exterior una vez terminada la compensacion?,"Si tuviera una oportunidad laboral similar en el exterior y una en Ecuador, ¿qua© preferiria? y ¿por qua©?",¿Tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt? ,"Si tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt, Explique, por favor cua¡l. ",¿Ha sido notificado con la terminacion unilateral del contrato?  ,"Si Senescyt decidiese terminar su contrato de manera unilateral, ¿estaria usted y su familia en condiciones de devolver los costos de su beca?",Tiene temor que Senescyt le notifique por Terminacion Unilateral de Contrato,¿Ha tenido algun problema adicional que no se haya contemplado en esta encuesta?
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Maestria,Maestria;Pregrado - tercer nivel,Canada,Artes,2014,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"Peticion de pago de valores que me deben del ultimo año de estudios de la maestria.
Tra¡mite de compensacion con proyecto de investigacion en el exterior.",No,No,"Si, porque me encuentro en el exterior",No sa© me han dado adecuadamente los valores en el ultimo año de maestria y se me aplico una preliquidacion que no se encuncuentra a mi contrato sin mi concentimiento. Tengo varias peticiones  sin responder.
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Electricidad y Energia,2012,Convocatoria abierta,Pregrado - tercer nivel,Maestria,,Becario retornado,Pichincha,Rumiñahui,Urbano,2015,0-2 meses,5,No tenia experiencia,Descontento(a) por no tener estabilidad,aumentado,Si,Me quedaria en el Ecuador,Si,La compensacion ,No,No,No,No conrestan.  Termine ya de subir mis informes y ya cumplo el tiempo pero no tengo respuesta alguna.
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad privada,Maestria,Maestria,Netherlands,Medio ambiente,2014,Convocatoria abierta,Maestria,Especialidades ma©dicas,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Diferimiento,No,No,"Si, porque me encuentro en el exterior",
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Tecnologias de la informacion y la comunicacion,2016,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,5,De 3 a 5 ,Descontento(a) por sobrecarga de trabajo,permanecido iguales,No sa© aun,Me quedaria en el Ecuador,Si,Aumento del valor de manutencion por hijo nacido en el exterior.,No,No,No,No me han respondido en ma¡s de 18 meses a mi solicitud. Sin ella no puedo proceder a realizar la liquidacion. 
Femenino,De 40 a 50 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,Australia,Agricultura,2013,Excelencia,Secundaria,Primaria,,Becario retornado,Guayas,Milagro,Rural,2018,0-2 meses,5,De 5 a 10 ,,,No sa© aun,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque la estabilidad es mayor,Si,"Si, estoy con abogado por la liquidacion, ya que tengo que devolver 30000usd. Por el cambio de moneda. A pesar que mi contrato dice que el ex IECE, no se hara¡ responsable del cambio de moneda y tengo justificativos que gaste en mi experimento.  Es mi segunda apelacion. ",No,No,,"Si, porque a las personas que han Sido despidas recientemente como yo, y la busqueda de empleo esta¡ ma¡s complicado, no sabemos que considera¡ el SENESCYT, para notificar la terminacion unilateral. Por lo tanto deberia haber en la pregunta anterior, una opcion de solo si y explique porque? Ninguna de las opciones arreglar va me representa"
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ingenieria y profesiones afines,2017,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,0-2 meses,4,Menos de 1 año,Contento(a),aumentado,No sa© aun,Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion,No,No,No,
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Medio ambiente,2016,Convocatoria abierta,Pregrado - tercer nivel,Primaria,,Becario retornado,Pichincha,Quito,Urbano,2018,3-6 meses,5,De 3 a 5 ,Contento(a),aumentado,No,Me quedaria en el Ecuador,Si,No me han respondido alrededor de 3 oficios referente al tema de liquidacion.,No,No,No,
Masculino,De 40 a 50 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Salud,2012,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2016,0-2 meses,3,De 3 a 5 ,Contento(a),aumentado,No sa© aun,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,solicitud de ampliacion de estudios sin financiamiento,No,No,"SI, porque no regresa© en el plazo establecido",falta de respuesta a oficios desde 2016
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En el exterior sin beca Senescyt,Doctorado - PhD,Doctorado PhD,Italy,Humanidades,2012,Convocatoria abierta,Pregrado - tercer nivel,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2017,0-2 meses,4,De 1 a 3 ,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo;Descontento(a) por no tener estabilidad,aumentado,No sa© aun,Me quedaria en el Ecuador,Si,un formulario de compensaciones por publicaciones (IFTH_2020-03-16_0603805888_003283),No,No,No,
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD,United Kingdom,Ciencias biologicas y afines,2014,Convocatoria abierta,Pregrado - tercer nivel,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,Si,Modificacion al contrato de beca sin financiamiento adicional por seis meses para culminacion de tesis,No,No,No,
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Argentina,Derecho,2014,Excelencia,Secundaria,Secundaria,,Becario retornado,Imbabura,Ibarra,Urbano,2017,7-9 meses,1,De 3 a 5 ,Descontento(a) por sobrecarga de trabajo;Descontento(a) por ambiente perjudicial;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,No sa© aun,Me quedaria en el Ecuador,Si,Ampliacion de plazo de contrato sin financiamiento ,No,No,,Falta de respuesta solicitudes y esto conlleva a no tener certezas respecto de posibles terminaciones unilaterales 
Masculino,De 30 a 34 ,Azuay,Cuenca,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Maestria,Chile,Tecnologias de la informacion y la comunicacion,2013,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Azuay,Cuenca,Urbano,2017,3-6 meses,3,De 3 a 5 ,Contento(a),aumentado,No,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,No,,No,No,No,
Femenino,De 18 a 24 ,Imbabura,Ibarra,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Australia,Ingenieria y profesiones afines,2013,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Imbabura,Ibarra,Urbano,2019,7-9 meses,3,De 1 a 3 ,Contento(a),permanecido iguales,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion,No,No,"Si, porque no encontra© trabajo en el plazo establecido",No problema pero me gustaria conocer si hay manera de hacer la compensacion en el exterior sin tener que devolver la beca. Me gustaria que si existiese un acercamiento con SENESCYT se exponga las condiciones laborales existentes en el Ecuador y porque las oportunidades para tener mejor transferencia de conocimiento en un pias sin empleo que te pide 4-5  de experiencia es imposible por lo tanto deberian permitir que los becarios si tenemos ofertas de empleo en el exterior nos podamos quedar eso nos permitira¡ dar una mejor transferencia de conocimientos cuando regresemos. 
Masculino,De 25 a 29 ,Guayas,Guayaquil,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ingenieria y profesiones afines,2014,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,Si,Problemas con liquidacion de beca,No,No,"Si, porque me encuentro en el exterior",Liquidacion de beca. Imposibilidad de compensar con proyectos siendo becario de tercer nivel.
Masculino,De 18 a 24 ,Guayas,Guayaquil,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ingenieria y profesiones afines,2014,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Imbabura,Guayaquil,Urbano,2018,0-2 meses,3,No tenia experiencia,Contento(a),aumentado,Si,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,No,"Mi liquidacion fue por un valor alto y actualmente me encuentro pagando mediante un convenio de pago. Las cuotas mensuales son de 520, es muy alto."
Masculino,De 18 a 24 ,Tungurahua,Ambato,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ingenieria y profesiones afines,2015,Excelencia,Secundaria,Secundaria,,Becario retornado,Tungurahua,Ambato,Urbano,2019,7-9 meses,1,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion por obtencion de titulo bajo la simplificacion de tra¡mites ,No,No,"Si, porque no encontra© trabajo en el plazo establecido","Falta de campo laboral para muchisimas carreras que es inexistente en ecuador y totalmente imposible su aplicacion, siendo inefectiva la trasmision de conocimientos y un completo engaño a los becarios para poder transferir conocimientos o progresar en el pias pobre y corrupto que nos encontramos"
Masculino,De 18 a 24 ,Esmeraldas,Esmeraldas,Rural,Publico,En Ecuador en una universidad publica,Pregrado - tercer nivel,Pregrado - tercer nivel,Ecuador,Otro,2016,Convocatoria abierta,Secundaria,Primaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"Solicitud del procedimiento para cambiar el tiempo ma¡ximo de entrega del titulo, puesto que por la pandemia esta¡n suspendidas las actividades de investigacion en la Universidad.",No,No,No,No
Femenino,De 40 a 50 ,Guayas,Guayaquil,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Doctorado PhD;Maestria,Costa Rica,Medio ambiente,2014,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor,Si,Solicita© prorroga para finalizar estudios pero no he tenido respuesta,No,No,"Si, porque me encuentro en el exterior",
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Australia,Arquitectura y construccion,2013,Excelencia,Primaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,1,Menos de 1 año,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,liquidacion ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Maestria,Maestria;Pregrado - tercer nivel,Canada,Artes,2018,Excelencia,Maestria,Pregrado - tercer nivel,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,Si,No me han respondido correctamente aun de mi beca que no me llega desde septiembre 2019 ,No,No,"Si, porque me encuentro en el exterior",No he podido regresar al Ecuador ya que senescyt no me ha dado dinero ni para vivir ni pagar matricula. No tengo ni para arreglar los problemas en la universidad peor para regresar. 
Masculino,De 40 a 50 ,Pichincha,Mejia,Rural,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Australia,Educacion,2013,Excelencia,Primaria,Primaria,,Becario retornado,Pichincha,Mejia,Rural,2014,10-12 meses,4,De 3 a 5 ,,,Si,Me quedaria en el Ecuador,No,,No,No,No,
Masculino,De 25 a 29 ,Cotopaxi,Latacunga,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Russia,Medio ambiente,2017,Cooperacion,Pregrado - tercer nivel,Secundaria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En el exterior sin beca Senescyt,Especializacion ma©dica,Especialidades ma©dicas,Cuba,Salud,2012,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2018,3-6 meses,5,Menos de 1 año,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo;Descontento(a) por pocas posibilidades de progreso,disminuido,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",Necesito devengar mi beca y en Ecuador no hay oportunidades 
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Artes,2014,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2015,3-6 meses,4,De 1 a 3 ,Descontento(a) por ingresos bajos;Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor,Si,Me deben el acta de finiquito,No,No,No,
Masculino,De 35 a 39 ,Tungurahua,Ambato,Urbano,Publico,En Ecuador en una universidad publica,Pregrado - tercer nivel,Maestria,Hungary,Educacion,2017,Cooperacion,Secundaria,Primaria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Me quedaria en el Ecuador,No,,No,No,"Si, porque me encuentro en el exterior",
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Netherlands,Medio ambiente,2014,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Diferimiento de periodo de compensacion por causa mayor - hice esta solicitud hace meses debido a que por la pandemia tengo retrasos en mi programa de doctorado de alrededor de un año ,No,No,"Si, porque me encuentro en el exterior",Cuando pedi diferimiento de periodo de compensacion para el doctorado tardaron ma¡s de 9 meses en responderme. Por lo que tuve que viajar al exterior de manera €œilegal€ù sin saber si tenia o no permiso 
Femenino,De 18 a 24 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Arquitectura y construccion,2019,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,2,No tenia experiencia,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion de valores,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 18 a 24 ,Tungurahua,Ambato,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Arquitectura y construccion,2015,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Tungurahua,Ambato,Rural,2019,3-6 meses,3,No tenia experiencia,Descontento(a) por ingresos bajos,aumentado,Si,Me quedaria en el Ecuador,Si,La liquidacion ,No,No,No,
Masculino,De 18 a 24 ,Imbabura,Ibarra,Urbano,Fiscomisional,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ingenieria y profesiones afines,2015,GAR,Maestria,Pregrado - tercer nivel,,Becario retornado,Imbabura,Ibarra,Urbano,2020,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,a_ltimo desembolso para el mes de febrero e imprevistos ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
